Date,Crop,Variety,"Location (Bed, Row)",Units,Yields (lbs),Ft Harvested,Food Distribution,Notes
6/25/22,garlic scapes,Garlic,Bed 7,25.0,6.25,,farmstand,
6/25/22,kale,Red Russian,Bed 7,7.0,3.5,,farmstand,
6/25/22,mustard greens,Red Giant,High tunnel,3.0,1.5,,farmstand,
6/25/22,callaloo,Wild,"6, 7, and 9",16.0,5.25,,farmstand,
6/25/22,bok choy,Win-Win,8:00 AM,17.0,6.8,,farmstand,
7/1/22,garlic,Garlic,7,15.0,4.0,6.0,farmstand,
7/1/22,callaloo,Wild,9 B,20.0,6.0,40.0,farmstand,
7/1/22,kale,Red Russian,7,2.0,0.75,3.0,farmstand,
7/1/22,bok choy,Win-Win,8:00 AM,20.0,6.0,6.0,farmstand,
7/1/22,broccoli greens,Gypsy,8 E,15.0,7.5,30.0,farmstand,
7/9/22,collards,,3:00 AM,36.0,18.0,30.0,farmstand,
7/9/22,garlic,,Bed 7,40.0,10.0,10.0,farmstand,
7/9/22,beets,,8 B,35.0,35.0,20.0,farmstand,
7/16/22,squash,,8 B and 8 D,,33.0,60.0,farmstand,
7/16/22,beets,,8 C,,28.5,20.0,farmstand,
7/16/22,chard,,4:00 AM,20.0,12.5,20.0,farmstand,
7/16/22,kale,,3 E,16.0,10.0,20.0,farmstand,
7/16/22,collards,,3 A and 3 B,20.0,14.0,30.0,farmstand,
7/16/22,garlic,,Bed 7,,3.35,,farmstand,
7/23/22,kale,,3 E,40.0,20.0,30.0,farmstand,
7/23/22,collards,,3:00 AM,35.0,17.5,30.0,farmstand,
7/23/22,squash,,8 B and 8 D,,55.0,60.0,farmstand,
7/23/22,garlic,,Bed 7,26.0,6.5,,farmstand,
7/23/22,beets,,8 B,25.0,30.0,40.0,farmstand,
7/30/22,collards,,3 B,45.0,,30.0,farmstand,
7/30/22,kale,,3 D,30.0,,20.0,farmstand,
7/30/22,chard,,4 E,15.0,,20.0,farmstand,
7/30/22,squash,,8 B and 8 D,,50.0,60.0,farmstand,
8/6/22,collards,,3A,30.0,,30.0,farmstand,
8/6/22,broccoli,,8E,,25.0,60.0,farmstand,
8/6/22,kale,,3E,20.0,,40.0,farmstand,
8/6/22,squash,,8B,,45.0,60.0,farmstand,
8/13/22,collards,,3B,30.0,39.9,40.0,farmstand,
8/13/22,kale,,3E,20.0,18.25,30.0,farmstand,
8/13/22,squash,,8B and 8D,,40.0,60.0,farmstand,
8/13/22,broccoli,,9A,,8.5,60.0,farmstand,
8/13/22,chard,,4E,20.0,16.0,40.0,farmstand,
8/20/22,squash,,8B & 8D,,40.0,60.0,farmstand,
8/20/22,collards,,3B,30.0,39.9,40.0,farmstand,
8/20/22,kale,,3E,20.0,18.25,30.0,farmstand,
8/20/22,broccoli,,8E,,8.5,10.0,farmstand,
8/20/22,chard,,4E,20.0,16.0,40.0,farmstand,
8/27/22,collards,,3A,35.0,40.0,30.0,farmstand,
8/27/22,kale,,3D,30.0,30.0,20.0,farmstand,
8/27/22,chard,,4A,15.0,20.0,20.0,farmstand,
9/3/22,kale,,3E,20.0,14.7,10.0,farmstand,
9/3/22,collards,,3B,25.0,15.4,20.0,farmstand,
9/3/22,chard,,4A,14.0,6.4,10.0,farmstand,
9/3/22,okra,,6A,,5.0,10.0,farmstand,
9/3/22,eggplant,,6C,,10.0,10.0,farmstand,
9/3/22,peppers,,6B,,15.0,30.0,farmstand,
9/10/22,collards,,3B,5.0,6.1,10.0,farmstand,
9/10/22,kale,,3D,4.0,3.3,10.0,farmstand,
9/10/22,tomatoes,,10A,,4.5,10.0,farmstand,
9/10/22,peppers,,6B,,3.4,10.0,farmstand,
9/10/22,eggplant,,10E,,5.1,10.0,farmstand,
9/17/22,collards,,3C,15.0,27.8,30.0,farmstand,
9/17/22,kale,,3E,15.0,35.1,30.0,farmstand,
9/17/22,chard,,4E,5.0,5.0,10.0,farmstand,
9/24/22,melons,,8C & 9C,,163.0,60.0,farmstand,
9/24/22,okra,,6A,,2.15,40.0,farmstand,
9/24/22,peppers,,6B,,12.0,20.0,farmstand,
10/6/22,eggplant,,6D,,2.4,5.0,resident,
10/6/22,collards,,3C,9.0,11.7,10.0,resident,
10/8/22,collards,,3A,16.0,21.85,15.0,farmstand,
10/8/22,kale,,3D,6.0,9.1,10.0,farmstand,
10/8/22,eggplant,,6C,,15.0,20.0,farmstand,
10/8/22,okra,,6A,,3.75,30.0,farmstand,
10/15/22,tomato,,10A,,52.0,60.0,farmstand,
10/15/22,turnips,,1E,,14.36,20.0,farmstand,
10/15/22,kale,,3D,15.0,11.4,20.0,farmstand,
10/15/22,eggplant,,6C,,30.56,60.0,farmstand,
10/15/22,collards,,3C,16.0,19.25,30.0,farmstand,
10/15/22,chard,,4E,6.0,12.45,10.0,farmstand,
10/22/22,peppers,,6B,,8.25,60.0,farmstand,
10/22/22,tomato,,6B,,180.6,60.0,farmstand,
10/22/22,eggplant,,6C,,24.5,60.0,farmstand,
10/22/22,kale,,3E,,23.9,15.0,farmstand,
10/22/22,collards,,3B,45.0,68.6,50.0,farmstand,
10/22/22,bok choy,,2E,,23.8,30.0,farmstand,
10/22/22,chard,,4E,12.0,15.65,10.0,farmstand,
10/22/22,okra,,6A,,1.2,60.0,farmstand,
10/29/22,collards,,3A,35.0,42.0,30.0,farmstand,
10/29/22,kale,,3D,20.0,21.7,20.0,farmstand,
11/5/22,carrots,,1B,,28.3,45.0,farmstand,
11/5/22,turnips,,1E,,20.75,20.0,farmstand,
11/5/22,radish,,1B,,5.9,10.0,farmstand,
11/12/22,collards,,3C,20.0,26.5,30.0,farmstand,
