Date,Crop,Variety,"Location (Bed, Row)",Units,Yields (lbs),Ft Harvested,Food Distribution,Notes
7/2/22,collards,Top bunch,2B,,6.7,20.0,,
7/2/22,shiso,,D2/3,,1.0,10.0,,
7/9/22,bok choi,,4D,,14.35,20.0,,
7/9/22,turnips,Scarlett Queen,6E,,8.4,10.0,,
7/9/22,collards,Top Bunch,2C,,16.2,15.0,,
7/16/22,collards,Top Bunch,2D,,16.4,40.0,,
7/16/22,turnips,Scarlett Queen,6E,,20.0,20.0,,
7/16/22,bok choi,,4D,,5.9,20.0,,Pest eaten
7/16/22,potatoes,Yukon Gold,5A,,13.9,7.0,,
7/16/22,okra,Red/Green,"7C,D",,4.9,40.0,,
7/23/22,collards,Top Bunch,"2B,2D,2E",60,43.65,50.0,Farmstand,
7/23/22,turnips,Scarlett Queen ,6E,,25.0,15.0,Farmstand,
7/23/22,okra,red/Green,"7C,7D",,6.05,80.0,Farmstand,
7/23/22,potatoes,Yukon Gold,5A,,22.0,10.0,Farmstand,
7/23/22,kale,,1A,12,8.0,40.0,Farmstand,
7/23/22,bok choi,,4D,,22.0,40.0,Farmstand,
7/23/22,cucumbers,,4A,,13.0,40.0,Farmstand,
7/30/22,okra,Carmine,"7C,7D",,7.6,80.0,Farmstand,
7/30/22,turnips,Scarlet Queen,5D,,66.25,20.0,Farmstand,
7/30/22,potatoes,Yukon Gold,5B,,14.4,40.0,Farmstand ,
7/30/22,squash,Summer,"8D,8E",,68.5,80.0,Farmstand ,
7/30/22,radish,,"6B,6C",,18.05,80.0,Farmstand,
7/30/22,cucumbers,Marketmore,4A,,30.8,40.0,Farmstand,
7/30/22,collards,Top bunch,"2B,2C,2D,2E",,3.05,160.0,Farmstand,Green tomatoes harvested after pruning
8/6/22,okra,Carmine,"7D,7E",,7.9,80.0,Farmstand,Thinning
8/6/22,collards,Top bunch,"2B,2C,2D,2E",,141.6,160.0,Farmstand,
8/6/22,turnips,Scarlett Queen,"6D,6E",,66.25,40.0,Farmstand,
8/6/22,potatoes,,"5A,5B,5C",,14.4,20.0,Farmstand,
8/6/22,squash,Summer,"8D,8E",,68.5,80.0,Farmstand,
8/6/22,cucumbers,Marketmore,4A,,30.8,40.0,Farmstand,
8/6/22,radish,,6B,,18.05,40.0,Farmstand,
8/6/22,kale,Curly,1A,,26.25,40.0,Farmstand,
8/13/22,okra,Carmine,"7D,7E",,21.0,80.0,Farmstand,
8/13/22,squash,Summer,"8D,8E",,32.0,80.0,Farmstand,
8/13/22,cucumbers,Marketmore,4A,,65.0,40.0,Farmstand,
8/13/22,potatoes,Yukon Gold,"5A,5B,5C",,33.15,40.0,Farmstand,
8/13/22,radish,,,,1.15,20.0,Farmstand,
8/13/22,peppers,,,,4.1,40.0,Farmstand,
8/13/22,collards,Top Bunch,,,75.2,80.0,Farmstand,
8/13/22,kale,,,,27.9,40.0,Farmstand,
8/17/22,okra,Mix,7C-D,,7.7,,,
8/18/22,tomatoes,Big Beef,3A,,4.1,40.0,Team,
8/18/22,carrots,Bolero,8B,,2.0,,,
8/19/22,squash,Multipik,8D-E,,27.0,80.0,Farm stand,
8/19/22,okra,Mix,7C-D,,2.2,80.0,Farm stand,
