Date,Crop,Variety,"Location (Bed, Row)",Units,Yields (lbs),Ft Harvested,Food Distribution,Notes
4/21/22,carrots,,,,9.4,,Community Fridge,Overwintered carrots
4/29/22,carrots,,,,14.7,,Community Fridge,Overwintered carrots
5/21/22,parsley,,Demo Bed 2,,0.8,5 ft,Community Fridge,
5/21/22,lemon balm,,Demo Bed 2,,0.3,2 ft,Community Fridge,
6/4/22,kale,Red Russian,"Bed 6, Row A",1 Bunch,1.1,2 ft,Distribution,
6/11/22,kale,Red Russian,"Bed 6, Row A",2 bunches,1.9,2 ft,Distribution,
6/11/22,radish,Round Rover,"Bed 1, Row C",,4.3,,Distribution,
6/11/22,turnips,Hakurei,"Bed 2, Row C",,3.0,,Distribution,
6/11/22,mustard greens,Elegance,"Bed 1, Row A",5 Bunches,2.0,5 ft,Distribution,
6/18/22,garlic,,"Bed 4, Row A",,2.2,,Farm Stand,
6/18/22,radish,,"Bed 1, Row C",,17.5,8 ft,Farm Stand,
6/18/22,turnip,Hakurai,"Bed 2, Row C",,17.2,8 ft,Farm Stand,
6/18/22,onion,,"Bed 4, Row A",,0.7,,Farm Stand,
6/18/22,mustard greens,Elegance,"Bed 1, Row A",,3.5,,Farm Stand,
6/18/22,spinach,,"Bed 7, Row C",,3.0,,Farm Stand,
6/18/22,sage,,Demo Bed 2,,0.3,,Farm Stand,
6/18/22,lavender,,Demo Bed 2,,0.2,,Farm Stand,
6/25/22,mustard greens,,"Bed 1, Row A",,4.3,15,Farm Stand,
6/25/22,radish,,"Bed 1, Row C",,43.0,30,Farm Stand,
6/25/22,pac choi,,"Bed 1, Row D",,9.8,30,Farm Stand,
6/25/22,spinach,,"Bed 1, Row E",,16.2,,Farm Stand,
6/25/22,turnip,,"Bed 2, Row C",,20.9,,Farm Stand,
6/25/22,kale,Red Russian,"Bed 2, Row D",,7.8,40,Farm Stand,
6/25/22,spinach,Red Malabar,"Bed 2, Row E",,2.3,40,Farm Stand,
6/25/22,collard greens,,"Bed 3, Row B",,8.8,40,Farm Stand,
6/25/22,chard,Rainbow,"Bed 3, Row C",,3.9,40,Farm Stand,
6/25/22,garlic,,"Bed 4, Row A",,28.4,40,Farm Stand,
6/25/22,sage,,Demo Bed 2,,0.2,,Farm Stand,
6/25/22,lemon balm,,Demo Bed 2,,0.2,,Farm Stand,
6/25/22,lavender,,Demo Bed 2,,0.4,,Farm Stand,
7/2/22,mustard,,"Bed 1, Row A",,2.8,30,Farm Stand,
7/2/22,pac choi,,"Bed 1, Row, D",,46.7,30,Farm Stand,
